year,district,name,sex,party,vote_count,vote_percent
2012,3rd Worcester,Stephen L. DiNatale,m,Democratic,"12,835",99.8
2012,4th Worcester,Dennis A. Rosa,m,Democratic,"10,346",57.1
2012,5th Worcester,Anne M. Gobi,f,Democratic,"14,063",69.7
2012,6th Worcester,Peter J. Durant,m,Republican,"9,676",55.4
2012,7th Worcester,Paul K. Frost,m,Republican,"15,489",99.4
2012,8th Worcester,Kevin J. Kuros,m,Republican,"10,487",49.8
2012,9th Worcester,"George N. Peterson, Jr.",m,Republican,"16,543",99.6
2012,10th Worcester,John V. Fernandes,m,Democratic,"16,234",98.8
2012,11th Worcester,Matthew A. Beaton,m,Republican,"16,572",99
2012,12th Worcester,"Harold P. Naughton, Jr.",m,Democratic,"15,859",94.5
2012,13th Worcester,"John J. Mahoney, Jr.",m,Democratic,"12,019",98.4
2012,14th Worcester,James J. O'Day,m,Democratic,"9,914",61.1
2012,15th Worcester,Mary S. Keefe,f,Democratic,"7,654",75
2012,16th Worcester,John P. Fresolo,m,Democratic,"9,287",97.9
2012,17th Worcester,"John J. Binienda, Sr.",m,Democratic,"10,595",76.3
2012,18th Worcester,Ryan C. Fattman,m,Republican,"13,411",70
