"Stoughton - Pcts. 2-4, 6",Eighth Norfolk
"Walpole - Pcts. 3, 4",Eighth Norfolk
"Medfield - Pcts. 3, 4",Ninth Norfolk
Millis - Pct. 1,Ninth Norfolk
Norfolk,Ninth Norfolk
Plainville,Ninth Norfolk
Walpole - Pct. 5,Ninth Norfolk
Wrentham,Ninth Norfolk
Franklin,Tenth Norfolk
"Medway - Pcts. 2, 3, 4",Tenth Norfolk
Dedham,Eleventh Norfolk
Walpole - Pct. 8,Eleventh Norfolk
Westwood,Eleventh Norfolk
Norwood,Twelfth Norfolk
"Walpole - Pcts. 1, 2, 6, 7",Twelfth Norfolk
Dover,Thirteenth Norfolk
"Medfield - Pcts. 1, 2",Thirteenth Norfolk
Needham,Thirteenth Norfolk
Wayland (Middlesex County) - Pct. 4,Fourteenth Norfolk
Wellesley,Fourteenth Norfolk
Weston (Middlesex County),Fourteenth Norfolk
"Brookline - Pcts. 2-4, 6-13",Fifteenth Norfolk
"Plymouth - Pcts. 2-8, 10, 12, 14, 15",First Plymouth
Carver,Second Plymouth
"Middleborough - Pcts. 3, 6",Second Plymouth
Wareham,Second Plymouth
Cohasset (Norfolk County),Third Plymouth
"Hingham - Pcts. 1, 3, 4, 5, 6",Third Plymouth
Hull,Third Plymouth
Scituate - Pct. 3,Third Plymouth
Marshfield,Fourth Plymouth
"Scituate - Pcts. 1, 2, 4, 5, 6",Fourth Plymouth
Hanover,Fifth Plymouth
Norwell,Fifth Plymouth
Rockland,Fifth Plymouth
Duxbury - Pcts. 2-6,Sixth Plymouth
Hanson,Sixth Plymouth
Pembroke,Sixth Plymouth
Abington,Seventh Plymouth
East Bridgewater - Pcts. 2-4,Seventh Plymouth
Whitman,Seventh Plymouth
Bridgewater,Eighth Plymouth
Raynham (Bristol County),Eighth Plymouth
BROCKTON:,Ninth Plymouth
BROCKTON:,Tenth Plymouth
East Bridgewater - Pct. 1,Tenth Plymouth
West Bridgewater,Tenth Plymouth
Easton (Bristol County) - Pct. 1-5,Eleventh Plymouth
BROCKTON:,Eleventh Plymouth
Duxbury - Pcts. 1,Twelfth Plymouth
Halifax,Twelfth Plymouth
Kingston,Twelfth Plymouth
Middleborough - Pct. 1,Twelfth Plymouth
"Plymouth - Pcts. 1, 11, 13",Twelfth Plymouth
Plympton,Twelfth Plymouth
"BOSTON - Wd. 1, Pcts. 1-14",First Suffolk
BOSTON - Wd. 2,Second Suffolk
CHELSEA:,Second Suffolk
BOSTON:,Third Suffolk
BOSTON:,Fourth Suffolk
BOSTON:,Fifth Suffolk
BOSTON:,Sixth Suffolk
BOSTON:,Seventh Suffolk
BOSTON:,Eighth Suffolk
CAMBRIDGE (Middlesex County):,Eighth Suffolk
BOSTON:,Ninth Suffolk
Brookline (Norfolk County) - Pcts. 14-16,Tenth Suffolk
"BOSTON - Wd. 20, Pcts. 1, 5-7, 10-20",Tenth Suffolk
BOSTON:,Eleventh Suffolk
"Milton (Norfolk County) - Pct. 1, 2",Twelfth Suffolk
BOSTON:,Twelfth Suffolk
"QUINCY (Norfolk County) - Wd. 3, Pct. 3",Thirteenth Suffolk
BOSTON:,Thirteenth Suffolk
BOSTON:,Fourteenth Suffolk
Brookline (Norfolk County) - Pct. 5,Fifteenth Suffolk
BOSTON:,Fifteenth Suffolk
"Saugus (Essex County) - Pct. 3, 10",Sixteenth Suffolk
CHELSEA:,Sixteenth Suffolk
REVERE:,Sixteenth Suffolk
BOSTON:,Seventeenth Suffolk
Brookline (Norfolk County) - Pct. 1,Eighteenth Suffolk
BOSTON:,Eighteenth Suffolk
REVERE:,Ninteenth Suffolk
Winthrop,Ninteenth Suffolk
Holden,First Worcester
Paxton,First Worcester
Princeton,First Worcester
Rutland,First Worcester
Sterling - Pct. 1,First Worcester
Westminster - Pct. 2,First Worcester
Ashburnham,Second Worcester
GARDNER,Second Worcester
Winchendon,Second Worcester
Westminster - Pct. 1,Second Worcester
FITCHBURG,Third Worcester
Lunenburg - Pct. B,Third Worcester
LEOMINSTER,Fourth Worcester
Ware (Hampshire County) - Pct. A,Fifth Worcester
Barre,Fifth Worcester
Brookfield,Fifth Worcester
East Brookfield,Fifth Worcester
Hardwick,Fifth Worcester
Hubbardston,Fifth Worcester
New Braintree,Fifth Worcester
North Brookfield,Fifth Worcester
Oakham,Fifth Worcester
Spencer - Pcts. 2-4,Fifth Worcester
West Brookfield,Fifth Worcester
Charlton Pcts. 1-3,Sixth Worcester
Dudley,Sixth Worcester
Southbridge,Sixth Worcester
Spencer - Pcts. 1,Sixth Worcester
Auburn,Seventh Worcester
Charlton - Pct. 4,Seventh Worcester
Millbury,Seventh Worcester
"Oxford - Pcts. 2, 3",Seventh Worcester
Bellingham (Norfolk County),Eighth Worcester
Blackstone,Eighth Worcester
Millville,Eighth Worcester
Uxbridge,Eighth Worcester
Grafton,Ninth Worcester
Northbridge,Ninth Worcester
Upton,Ninth Worcester
Medway (Norfolk County) - Pct. 1,Tenth Worcester
Hopedale,Tenth Worcester
Mendon,Tenth Worcester
Milford,Tenth Worcester
Shrewsbury,Eleventh Worcester
"Westborough - Pcts. 4, 5",Eleventh Worcester
Berlin,Twelfth Worcester
Boylston,Twelfth Worcester
Clinton,Twelfth Worcester
Lancaster,Twelfth Worcester
"Northborough - Pct. 2,4",Twelfth Worcester
Sterling - Pct. 2,Twelfth Worcester
WORCESTER:,Thirteenth Worcester
West Boylston,Fourteenth Worcester
WORCESTER:,Fourteenth Worcester
WORCESTER:,Fifteenth Worcester
WORCESTER:,Sixteenth Worcester
Leicester,Seventeenth Worcester
WORCESTER:,Seventeenth Worcester
Douglas,Eighteenth Worcester
"Oxford - Pct. 1, 4",Eighteenth Worcester
Sutton,Eighteenth Worcester
Webster,Eighteenth Worcester
