year,district,name,party,vote_count,vote_percent
2014,25th Middlesex,Marjorie C. Decker,Democratic,"10,082",98.8
2014,26th Middlesex,"Timothy J. Toomey, Jr.",Democratic,"8,789",87.0
2014,27th Middlesex,Denise Provost,Democratic,"10,771",87.7
2014,28th Middlesex,"Joseph W. Mcgonagle, Jr",Democratic,"7,329",98.3
2014,29th Middlesex,Jonathan Hecht,Democratic,"12,614",98.9
2014,30th Middlesex,James J. Dwyer,Democratic,"10,578",98.9
2014,31st Middlesex,Michael Seamus Day,Democratic,"9,270",51.4
2014,32nd Middlesex,Paul A. Brodeur,Democratic,"10,965",65.9
2014,33rd Middlesex,Steven Ultrino,Democratic,"5,801",66.4
2014,34th Middlesex,Christine P. Barber,Democratic,"7,043",64.1
2014,35th Middlesex,"Paul J. Donato, Sr.",Democratic,"9,697",98.3
2014,36th Middlesex,Colleen M. Garry,Democratic,"7,840",53.7
2014,37th Middlesex,Jennifer E. Benson,Democratic,"11,659",99.1
2014,1st Norfolk,Bruce J. Ayers,Democratic,"9,820",98.6
2014,2nd Norfolk,Tackey Chan,Democratic,"9,474",97.9
2014,3rd Norfolk,Ronald Mariano,Democratic,"8,702",65.9
2014,4th Norfolk,James Michael Murphy,Democratic,"8,740",58.4
2014,5th Norfolk,Mark J. Cusack,Democratic,"10,806",99.1
2014,6th Norfolk,William C. Galvin,Democratic,"10,613",99.6
2014,7th Norfolk,"Walter F. Timilty, Jr.",Democratic,"11,274",99.1
2014,8th Norfolk,Louis L. Kafka,Democratic,"11,614",98.7
2014,9th Norfolk,Shawn C. Dooley,Republican,"1,922",61.1
2014,9th Norfolk,Shawn C. Dooley,Republican,"12,734",99.0
2014,10th Norfolk,Jeffrey N. Roy,Democratic,"11,135",97.7
2014,11th Norfolk,Paul McMurtry,Democratic,"11,922",99.1
2014,12th Norfolk,John H. Rogers,Democratic,"8,894",58.1
2014,13th Norfolk,Denise C. Garlick,Democratic,"13,091",98.4
2014,14th Norfolk,Alice Hanlon Peisch,Democratic,"12,101",99.4
2014,15th Norfolk,Frank Israel Smizik,Democratic,"9,332",80.6
2014,1st Plymouth,Mathew J. Muratore,Republican,"9,227",59.9
2014,2nd Plymouth,Susan Williams Gifford,Republican,"10,847",98.8
2014,3rd Plymouth,Garrett J. Bradley,Democratic,"13,367",99.3
2014,4th Plymouth,James M. Cantwell,Democratic,"10,560",58.6
2014,5th Plymouth,David F. Decoste,Republican,"8,332",50.1
2014,6th Plymouth,Josh S. Cutler,Democratic,"9,035",53.8
2014,7th Plymouth,Geoff Diehl,Republican,"11,528",99.2
2014,8th Plymouth,Angelo L. D'Emilia,Republican,"6,838",53.6
2014,9th Plymouth,Michael D. Brady,Democratic,"6,190",99.7
2014,10th Plymouth,Michelle M. Dubois,Democratic,"5,684",50.7
2014,11th Plymouth,Claire D. Cronin,Democratic,"9,321",99.0
2014,12th Plymouth,"Thomas J. Calter, III",Republican,"12,944",99.1
2014,1st Suffolk,Carlo P. Basile,Democratic,"4,965",76.1
2014,2nd Suffolk,Daniel Joseph Ryan,Democratic,"1,661",98.3
2014,2nd Suffolk,Daniel Joseph Ryan,Democratic,"7,669",98.7
2014,3rd Suffolk,Aaron M. Michlewitz,Democratic,"8,398",98.5
2014,4th Suffolk,Nick Collins,Democratic,"9,850",98.4
2014,5th Suffolk,Evandro C. Carvalho,Democratic,739,91.2
2014,5th Suffolk,Evandro C. Carvalho,Democratic,"6,025",88.0
2014,6th Suffolk,Russell E. Holmes,Democratic,"7,663",99.1
2014,7th Suffolk,Gloria L. Fox,Democratic,"4,641",98.0
2014,8th Suffolk,Jay D. Livingstone,Democratic,"8,769",98.6
2014,9th Suffolk,Byron Rushing,Democratic,"6,583",98.7
2014,10th Suffolk,Edward F. Coppinger,Democratic,"11,923",98.8
2014,11th Suffolk,Elizabeth A. Malia,Democratic,"9,912",99.1
2014,12th Suffolk,Dan Cullinane,Democratic,"10,272",99.0
2014,13th Suffolk,Daniel J. Hunt,Democratic,"1,597",97.0
2014,13th Suffolk,Daniel J. Hunt,Democratic,"9,259",98.5
2014,14th Suffolk,Angelo M. Scaccia,Democratic,"9,920",98.5
2014,15th Suffolk,Jeffrey Sanchez,Democratic,"9,582",99.0
2014,16th Suffolk,Roselee Vincent,Democratic,"1,586",67.5
2014,16th Suffolk,Roselee Vincent,Democratic,"7,431",98.4
2014,17th Suffolk,Kevin G. Honan,Democratic,"5,609",98.3
2014,18th Suffolk,Michael J. Moran,Democratic,"5,039",98.1
2014,19th Suffolk,Robert A. DeLeo,Democratic,"7,330",71.6
2014,1st Worcester,Kimberly N. Ferguson,Republican,"13,847",99.4
2014,2nd Worcester,Jonathan D. Zlotnik,Democratic,"5,859",50.1
2014,3rd Worcester,Stephen L. DiNatale,Democratic,"7,800",99.6
2014,4th Worcester,Dennis A. Rosa,Democratic,"6,649",55.0
2014,5th Worcester,"Donald R. Berthiaume, Jr",Republican,"8,344",56.3
2014,6th Worcester,Peter J. Durant,Republican,"7,210",62.9
2014,7th Worcester,Paul K. Frost,Republican,"10,087",73.6
2014,8th Worcester,Kevin J. Kuros,Republican,"8,331",60.4
2014,9th Worcester,"David K. Muradian, Jr",Republican,"8,980",62.4
2014,10th Worcester,John V. Fernandes,Democratic,"8,677",58.9
2014,11th Worcester,Matthew A. Beaton,Republican,"12,457",99.4
2014,12th Worcester,"Harold P. Naughton, Jr.",Democratic,"8,497",55.4
2014,13th Worcester,"John J. Mahoney, Jr.",Democratic,"7,545",68.5
2014,14th Worcester,James J. O'Day,Democratic,"8,194",97.9
2014,15th Worcester,Mary S. Keefe,Democratic,"4,731",97.9
2014,16th Worcester,Daniel M. Donahue,Democratic,"5,351",97.9
2014,17th Worcester,Kate D. Campanale,Republican,"4,688",50.2
2014,18th Worcester,Joseph D. Mckenna,Republican,"7,809",60.1
2013,6th Bristol,Carole A. Fiola,Democratic,"2,908",52.9
2013,12th Essex,Leah Cole,Republican,"1,878",35.1
2013,28th Middlesex,Wayne A. Matewsky,Democratic,"1,256",34.0
2013,8th Suffolk,Jay D. Livingstone,Democratic,"5,771",94.8
2013,12th Suffolk,Dan Cullinane,Democratic,"1,685",74.7
2013,16th Worcester,Daniel M. Donahue,Democratic,"1,614",63.6
2012,1st Barnstable,Cleon H. Turner,Democratic,"19,389",99.6
2012,2nd Barnstable,Brian R. Mannal,Democratic,"15,568",99.6
2012,3rd Barnstable,David T. Vieira,Republican,"17,724",99.1
2012,4th Barnstable,Sarah K. Peake,Democratic,"22,502",98.9
2012,5th Barnstable,Randy Hunt,Republican,"12,483",56.1
2012,"Barnstable, Dukes and Nantucket",Timothy R. Madden,Democratic,"20,070",99.2
2012,1st Berkshire,Gailanne M. Cariddi,Democratic,"15,705",99.7
2012,2nd Berkshire,Paul W. Mark,Democratic,"16,917",99.1
2012,3rd Berkshire,Tricia Farley-Bouvier,Democratic,"14,419",100.0
2012,4th Berkshire,"William ""Smitty"" Pignatelli",Democratic,"16,670",82.0
2012,1st Bristol,Fred Jay Barrows,Republican,"15,747",99.6
2012,2nd Bristol,Paul R. Heroux,Democratic,"9,738",58.2
2012,3rd Bristol,Shaunna L. O'Connell,Republican,"9,434",56.4
2012,4th Bristol,Steven S. Howitt,Republican,"11,961",61.4
2012,5th Bristol,Patricia A. Haddad,Democratic,"16,120",99.6
2012,6th Bristol,David B. Sullivan,Democratic,"12,288",99.7
2012,7th Bristol,Alan Silvia,Democratic,"9,449",99.9
2012,8th Bristol,"Paul Schmid, III",Democratic,"14,576",99.6
2012,9th Bristol,Christopher M. Markey,Democratic,"15,175",99.5
2012,10th Bristol,William M. Straus,Democratic,"15,991",99.2
2012,11th Bristol,Robert M. Koczera,Democratic,"12,001",99.1
2012,12th Bristol,Keiko M. Orrall,Republican,"10,251",57.5
2012,13th Bristol,Antonio F.D. Cabral,Democratic,"12,620",98.9
2012,14th Bristol,Elizabeth A. Poirier,Republican,"16,136",99.6
2012,1st Essex,Michael A. Costello,Democratic,"18,398",99.4
2012,2nd Essex,Leonard Mirra,Republican,"12,663",52.2
2012,3rd Essex,Brian S. Dempsey,Democratic,"14,394",99.6
2012,4th Essex,Bradford R. Hill,Republican,"21,129",99.6
2012,5th Essex,Ann-Margaret Ferrante,Democratic,"17,997",97.1
2012,6th Essex,Jerald A. Parisella,Democratic,"16,355",98.9
2012,7th Essex,John D. Keenan,Democratic,"16,344",99.3
2012,8th Essex,Lori A. Ehrlich,Democratic,"17,186",99.1
2012,9th Essex,Donald H. Wong,Republican,"16,034",98.8
2012,10th Essex,Robert F. Fennell,Democratic,"10,739",81.7
2012,11th Essex,Steven M. Walsh,Democratic,"11,607",98.2
2012,12th Essex,Joyce A. Spiliotis,Democratic,"15,884",98.2
2012,13th Essex,Theodore C. Speliotis,Democratic,"14,019",62.7
2012,14th Essex,Diana DiZoglio,Democratic,"11,191",62.8
2012,15th Essex,Linda Dean Campbell,Democratic,"15,154",99.5
2012,16th Essex,Marcos A. Devers,Democratic,"9,270",83.9
2012,17th Essex,Frank A. Moran,Democratic,"8,419",63.3
2012,18th Essex,"James J. Lyons, Jr.",Republican,"11,810",51.0
2012,1st Franklin,Stephen Kulik,Democratic,"20,002",99.9
2012,2nd Franklin,Denise Andrews,Democratic,"8,296",45.2
2012,1st Hampden,Todd M. Smola,Republican,"15,962",99.4
2012,2nd Hampden,Brian M. Ashe,Democratic,"12,609",57.1
2012,3rd Hampden,Nicholas A. Boldyga,Republican,"11,674",61.1
2012,4th Hampden,"Donald F. Humason, Jr.",Republican,"14,732",99.2
2012,5th Hampden,Aaron Vega,Democratic,"9,545",60.8
2012,6th Hampden,Michael J. Finn,Democratic,"9,477",63.6
2012,7th Hampden,Thomas M. Petrolati,Democratic,"15,013",98.8
2012,8th Hampden,Joseph F. Wagner,Democratic,"13,860",98.4
2012,9th Hampden,Sean Curran,Democratic,"12,134",84.2
2012,10th Hampden,Cheryl Rivera,Democratic,"10,136",97.8
2012,11th Hampden,Benjamin Swan,Democratic,"10,084",76.6
2012,12th Hampden,"Angelo J. Puppolo, Jr.",Democratic,"13,271",70.1
