GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
620L200US25119,25119,"Second Middlesex District (2010), Massachusetts",14532,326,301,127,301,111,340,133,261,98,205,88,326,98,393,130,264,103,297,103,746,195,1021,217,1716,239,2031,267,1729,228,2548,267,2053,198
620L200US25120,25120,"Third Middlesex District (2010), Massachusetts",15607,343,707,197,586,193,421,134,534,141,625,141,459,156,623,154,383,109,432,119,694,173,1512,274,2437,343,1892,264,1482,211,1443,238,1377,223
620L200US25121,25121,"Fourth Middlesex District (2010), Massachusetts",18072,465,830,219,722,201,507,144,721,180,978,208,403,118,744,202,749,239,658,182,1063,205,1735,286,2068,352,2187,292,1663,309,1458,250,1586,265
620L200US25122,25122,"Fifth Middlesex District (2010), Massachusetts",15243,316,463,151,572,159,385,122,330,118,390,123,392,106,510,167,603,171,364,121,1057,206,1273,252,2086,293,1928,278,1490,233,1460,227,1940,247
620L200US25123,25123,"Sixth Middlesex District (2010), Massachusetts",16007,410,877,228,1005,232,356,115,566,202,693,209,668,154,543,170,727,214,570,171,920,220,1370,242,2139,242,1699,242,1434,246,1399,246,1041,187
620L200US25124,25124,"Seventh Middlesex District (2010), Massachusetts",16568,464,1000,250,542,152,517,171,678,168,841,245,595,153,641,222,559,189,558,216,1334,305,1627,261,2061,290,1572,256,1210,253,1603,262,1230,240
620L200US25125,25125,"Eighth Middlesex District (2010), Massachusetts",14234,308,218,118,268,117,266,87,262,95,208,79,261,97,259,97,399,120,263,112,694,180,1291,235,1574,248,1964,245,1207,216,1939,260,3161,282
620L200US25126,25126,"Ninth Middlesex District (2010), Massachusetts",14854,725,582,186,568,158,327,112,341,110,241,89,463,131,370,128,533,146,444,123,867,195,1259,248,2069,287,1718,238,1239,197,1704,271,2129,224
620L200US25127,25127,"Tenth Middlesex District (2010), Massachusetts",15544,830,1293,289,755,183,838,243,756,194,337,132,585,198,600,170,805,173,587,155,1300,279,1773,291,2073,284,1412,323,790,192,901,170,739,167
620L200US25128,25128,"Eleventh Middlesex District (2010), Massachusetts",13614,465,670,149,435,131,294,112,297,100,289,124,294,99,280,88,326,99,340,120,486,98,1095,224,1395,241,1297,200,1213,213,1479,206,3424,293
620L200US25129,25129,"Twelfth Middlesex District (2010), Massachusetts",12828,326,662,160,212,73,193,83,308,102,224,85,275,87,276,110,277,131,254,89,906,213,811,202,1305,187,1318,198,864,167,1503,208,3440,315
620L200US25130,25130,"Thirteenth Middlesex District (2010), Massachusetts",12580,217,264,100,179,74,102,58,146,59,168,87,221,82,258,87,186,80,230,87,574,153,859,178,1120,206,1203,187,1357,228,1818,195,3895,303
620L200US25131,25131,"Fourteenth Middlesex District (2010), Massachusetts",14533,353,375,115,366,118,308,98,386,114,349,126,338,105,359,136,513,143,345,119,759,146,967,179,1460,209,1567,241,1414,203,1721,202,3306,295
620L200US25132,25132,"Fifteenth Middlesex District (2010), Massachusetts",15713,405,383,138,391,115,383,122,479,149,558,157,477,153,315,121,512,148,462,135,897,202,1452,262,2126,329,1765,288,1262,188,1956,223,2295,279
